id;name;type;description;created_at;created_by;icon;version;category;rate;aie_metadata;user_id;is_public;organization_name;tenant_id
7e4f386e-cdbe-4004-8f4f-5a7b6ec2114c;justly aside absentmindedly;quickly concerning timely;under trust foolhardy;2024-11-26T07:20:59;rundown valuable boohoo;promptly meanwhile;remorseful warming feminize;skyscraper;15012.56;if swath;ugh always;true;assist by;indeed within
610a02ca-f4bb-4e5a-af28-5901c91b878e;when;yippee;whenever;2024-11-26T12:30:47;phooey reassemble;platypus;innocent including;until thyme;23189.2;mousse testimonial;that;true;blah aha skyline;pepper supposing sugary
7d1e0317-ecf8-4bd1-9275-21ba37391514;yuck well-to-do;linseed readies;supposing;2024-11-26T02:15:22;galoshes mechanically;probable;metal;satisfy athwart;16178.08;though hm hunger;pace;true;near;hmph
6f5a4d5e-73fb-41e2-b3aa-479315e8647b;quicker;scar anticodon stack;whether kiss supposing;2024-11-26T09:58:37;mmm so;furthermore skateboard sneaky;armchair;absent;29960.22;concentration quizzically;ouch afterwards merit;true;unzip only under;steel
336a9740-c0b7-4fd8-8688-c6be109f60a3;punctually bore fortunately;mouser capitalise phew;as draw satisfy;2024-11-26T01:40:04;extract uncomfortable;however;till phooey wherever;mosh;32735.15;gadzooks boohoo hover;humble;true;likewise separately;where snarling physical
e121bdb1-cf4f-4f2a-bf41-1d145e9fc39d;deafening plan;awful whoa going;fortunately;2024-11-26T07:58:39;through;aha often;provided accredit;abnormally;18640.06;into but;neck well dredger;false;offend excepting;er
7a3f594c-1a0d-47ed-809c-18bf81f7cbba;round onset blindly;deplore lawful;throughout supposing;2024-11-26T01:09:33;between;pfft scarily;hastily;anxiously graceful deceivingly;13296.65;ack which;fooey ugh mmm;false;considering;doting notwithstanding yuck
06e665ab-52cf-429e-907e-89a70c75063a;yahoo roughly;versus;uh-huh aha excited;2024-11-26T02:22:17;over uh-huh;short;geez aha beyond;heartfelt;6052.18;cycle;important per;false;including;dispose
906e2e06-9bb1-45da-90d0-5f36e3ee64f1;boggle competent;ick inasmuch cross-contamination;helpfully hm actually;2024-11-26T01:41:48;expensive bludgeon however;truthfully brood;blend;suckle;6770.93;mockingly actually;buck writ;false;incomparable statue;consequently
b7bbb75c-e63e-4ea6-9e7e-40974fcbf906;since;toward;save;2024-11-25T23:14:15;psst consequently;volleyball that personalise;vice;westernise juggernaut;14577.14;cheap till intensely;march provided an;false;gadzooks analogy;override scarily
